STATION,NAME,DATE,DAPR,MDPR,MDSF,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,PPT_Inches
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",1/1/2010,,,,0.02,0.3,6,17,0,19,0.02
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",1/2/2010,,,,0,0,6,6,-14,-7,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",1/3/2010,,,,,,9,9,-16,9,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",1/4/2010,,,,0,0,6,16,5,7,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",1/5/2010,,,,0,0,6,19,2,2,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",1/6/2010,,,,0,0,6,20,-3,0,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",1/7/2010,,,,0.06,1.5,7,20,1,20,0.06
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",1/8/2010,,,,0.07,4,10,25,7,7,0.07
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",1/9/2010,,,,0,0,10,17,-6,1,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",1/10/2010,,,,0,0,10,15,-6,2,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",1/11/2010,,,,0,0,9,19,2,13,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",1/12/2010,,,,0,0,8,26,8,12,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",1/13/2010,,,,0,0,7,27,11,18,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",1/14/2010,,,,0,0,5,32,12,32,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",1/15/2010,,,,0,0,5,36,23,27,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",1/16/2010,,,,0,0,5,29,21,21,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",1/17/2010,,,,0,0,4,32,13,22,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",1/18/2010,,,,0,0,4,28,10,22,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",1/19/2010,,,,0,0,4,31,5,10,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",1/20/2010,,,,0,0,4,30,10,21,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",1/21/2010,,,,0,0,4,28,21,25,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",1/22/2010,,,,0,0,4,31,21,25,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",1/23/2010,,,,0,0,4,33,25,33,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",1/24/2010,,,,0.57,0.5,3,38,33,27,0.57
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",1/25/2010,,,,0.11,0.1,4,37,28,29,0.11
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",1/26/2010,,,,,,4,31,15,-9,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",1/27/2010,,,,0,0,4,16,1,5,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",1/28/2010,,,,0,0,4,18,-1,-1,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",1/29/2010,,,,0,0,4,5,-5,-4,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",1/30/2010,,,,0,0,4,11,-6,-4,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",1/31/2010,,,,0,0,4,20,-4,5,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",2/1/2010,,,,,,5,16,-3,6,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",2/2/2010,,,,0.08,2,7,22,6,19,0.08
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",2/3/2010,,,,0.01,0.3,7,28,7,10,0.01
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",2/4/2010,,,,0,0,7,28,10,18,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",2/5/2010,,,,0.01,0.2,7,32,19,27,0.01
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",2/6/2010,,,,0.02,0.3,7,32,12,18,0.02
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",2/7/2010,,,,0,0,7,24,6,17,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",2/8/2010,,,,0.07,6.8,12,26,17,20,0.07
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",2/9/2010,,,,0.09,0.6,11,27,20,22,0.09
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",2/10/2010,,,,0.06,5.3,13,27,18,18,0.06
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",2/11/2010,,,,0,0,13,28,-6,4,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",2/12/2010,,,,0,0,13,25,-5,2,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",2/13/2010,,,,0,0,12,28,-6,-2,0
USC00473405,"HANCOCK EXPERIMENTAL FARM, WI US",2/14/2010,,,,0,0,11,29,-5,6,0
