"","lake","date","day","atmp_C","RH_pct","irr_factor","ltmp_bot_C","ltmp_surf_C","area_m2","vol_m3","dV_m3","P_mm","E_mm","I_mm","P_m3","E_m3","I_m3","C_lake","dC_lake","C_pcpn","C_GWin","C_evap","C_ice","res_time","GWin_m3","C_lake_meas","C_lake_calc","P_lake","P_sed","ks","ks_tmp","kr","kr_tmp","dep","fd","sed","rel","TP_in"
"1","Pleasant",2018-06-29,180,27.4,78.8,0.973847630878195,15.59075,25.9465,551177.11902021,2713804.53597044,-1773.17335432675,0,-2.60635728121216,0,0,-1436.56449739586,0,0.0094171875,NA,0,0.0391172427234927,0,0,376,7217.56525524053,NA,0.0094171875,0.046366957683247,3.07905104757445,0.0766751903783071,0.00295420018202394,0.000470507766168617,0.0858172255275885,1.57534246575342e-05,0.496288594440157,0.000734842304127044,0.00100768161860041,NA
"2","Pleasant",2018-06-30,181,27.45,76.1,0.971526955822315,15.7250416666667,26.97975,551049.323947005,2712031.91294855,-1772.62302189227,0,-3.85665340977238,0,0,-2125.20625415298,0,0.00941421875,-2.96875000000037e-06,0,0.0391172427234927,0,0,376,7212.85083230996,NA,0.00945163767187722,0.046516966597754,3.07877870150541,0.0766751903783071,0.00295420018202394,0.000470507766168617,0.0858172255275885,1.57534246575342e-05,0.496288594440157,0.000739781889930635,0.00101879487455645,0.000368187578601923
"3","Pleasant",2018-07-01,182,23.7,78.3,0.969109128880456,15.9576666666667,26.928,550909.565029091,2710442.90677662,-1589.0061719222,1.51,5.86128433398937,0,831.873443193927,3229.03760294991,0,0.00941125,-2.96875000000037e-06,0,0.0391172427234927,0,0,376,6376.75130887156,NA,0.0094864524833789,0.0466727925529666,3.07850022472977,0.0766751903783071,0.00295420018202394,0.000470507766168617,0.0858172255275885,1.57534246575342e-05,0.496288594440157,0.000742393515015168,0.001038401665816,0.000400258117198485
"4","Pleasant",2018-07-02,183,21.6,73.15,0.966594391833298,15.94875,26.5492083333333,550485.469002319,2705621.0949446,-4821.81183202518,0,10.7284907096406,0,0,5905.87823998352,0,0.00940828125,-2.96875000000037e-06,0,0.0391172427234927,0,0,376,7195.80078442713,NA,0.00953114888244707,0.0468453373022601,3.07820489291148,0.0766751903783071,0.00295420018202394,0.000470507766168617,0.0858172255275885,1.57534246575342e-05,0.496288594440157,0.00074505840239306,0.00103754007390329,0.000504854612809147
"5","Pleasant",2018-07-03,184,24.55,65.1,0.963982996152448,15.9625416666667,27.0398333333333,550196.31262043,2702333.49596824,-3287.5989763625,0,2.34845824395532,0,0,1292.11306616727,0,0.0094053125,-2.96874999999863e-06,0,0.0391172427234927,0,0,376,7187.05717012829,NA,0.00957202889964682,0.0470137907626011,3.07791298007432,0.0766751903783071,0.00295420018202394,0.000470507766168617,0.0858172255275885,1.57534246575342e-05,0.496288594440157,0.000749337737719427,0.00103862037414616,0.000424611617129939
"6","Pleasant",2018-07-04,185,27.6,73.45,0.9612752029753,15.963625,27.4799583333333,549916.794784602,2699155.48362439,-3178.0123438444,0,1.77156183869558,0,0,974.211608098192,0,0.00940234375,-2.96875000000037e-06,0,0.0391172427234927,0,0,376,7178.60500963934,NA,0.00961200589743526,0.0471785889660899,3.07762425794224,0.0766751903783071,0.00295420018202394,0.000470507766168617,0.0858172255275885,1.57534246575342e-05,0.496288594440157,0.000753444864485267,0.00103861558099492,0.000418393612652776
"7","Pleasant",2018-07-05,186,24.05,70.05,0.958471283078914,15.9805833333333,27.5472083333333,549709.566044248,2696799.37102465,-2356.11259973794,0,4.81192925130698,0,0,2645.16354057158,0,0.009399375,-2.96875000000037e-06,0,0.0391172427234927,0,0,376,7172.33875272515,NA,0.00964945058137645,0.047338874682226,3.07733968601999,0.0766751903783071,0.00295420018202394,0.000470507766168617,0.0858172255275885,1.57534246575342e-05,0.496288594440157,0.00075653005969428,0.0010399705693327,0.000446975465695181
"8","Pleasant",2018-07-06,187,19.25,61.3,0.955571516852944,15.9905833333333,27.1182916666667,549299.92783657,2692141.93914144,-4657.43188321637,0,11.3167377391188,0,0,6216.28322344336,0,0.00939640625,-2.96875000000037e-06,0,0.0391172427234927,0,0,376,7159.9519658017,NA,0.00969122223694905,0.0474970858423144,3.07705692747281,0.0766751903783071,0.00295420018202394,0.000470507766168617,0.0858172255275885,1.57534246575342e-05,0.496288594440157,0.000758844288277045,0.0010407315244579,0.000509057137817421
"9","Pleasant",2018-07-07,188,19.8,59.3,0.952576194271595,15.9925416666667,26.845375,548890.289628894,2687484.50725825,-4657.43188318517,0,9.71758432241997,0,0,5333.88767322629,0,0.0093934375,-2.96875000000037e-06,0,0.0391172427234927,0,0,376,7147.56517887833,NA,0.00973268296580561,0.0476533019054561,3.07677570083514,0.0766751903783071,0.00295420018202394,0.000470507766168617,0.0858172255275885,1.57534246575342e-05,0.496288594440157,0.000761477472371442,0.00104080420795708,0.000493109820209529
"10","Pleasant",2018-07-08,189,22.1,62.8,0.94948561486463,16.0240833333333,26.6579166666667,548548.121243656,2683594.18180285,-3890.32545540109,0,9.01854916620155,0,0,4947.1082014634,0,0.00939046875,-2.96874999999863e-06,0,0.0391172427234927,0,0,376,7137.21856862461,NA,0.00977203771020515,0.0478065324223693,3.07649702497744,0.0766751903783071,0.00295420018202394,0.000470507766168617,0.0858172255275885,1.57534246575342e-05,0.496288594440157,0.000764133894370883,0.00104341608790177,0.000485853770040471
